BoardID,Email,Fax,FirmID,ListingServiceName,ModificationTimestamp,Name,OfficeCity,OfficeID,OfficePhone,OfficeState,OfficeStatus,OfficeUID,OfficeZip,StreetAddress,URL
2715,quartersorpaints@bellsouth.net,,00061,"Ocala/Marion County AOR",2012-07-18T19:39:59,"I B A REALTY",OCALA,0,3524278806,FL,"- Active",2715000610,34477,"PO BOX 772648  OCALA, FL 34477",
2715,cynthiar@orhp.com,4078340009,9961,"Ocala/Marion County AOR",2008-02-13T13:27:31,"OLD REPUBLIC HOME PROTECTION",OVIEDO,0,4074973114,FL,"- Inactive",271599610,32765,"4621 TIFFANY WOODS CIRCLE  OVIEDO, FL 32765",
2715,JBROWN6165@YAHOO.COM,3522458796,180,"Ocala/Marion County AOR",2009-05-20T14:56:41,"SOUTHERN ATLANTIC REALTY",OCALA,0,3522459023,FL,"- Active",27151800,34480,"3110 S. E. 95TH STREET  OCALA, FL 34480",WWW.SOUTHERNATLANTICREALTY.ORG
2715,CFHMINSPECTION@AOL.COM,3525951779,2109,"Ocala/Marion County AOR",2006-02-13T13:44:03,"CENTRAL FLA. HOME INSPECTION SERVICES, I",CITRA,0,3524250167,FL,"- Inactive",271521090,32113,"P. O. BOX 941  CITRA, FL 32113",
2715,DAVIDROSENDAHL@COMCAST.NET,9540785,0538,"Ocala/Marion County AOR",2007-04-30T14:47:44,"SUN GROUP REALTY, INC.","FT. LAUDERDALE",0,9544947202,FL,"- Inactive",271505380,33334,"120 E. OAKLAND PRK. BLVD. SUITE 105 FT. LAUDERDALE, FL 33334",
2715,MEMORIESFOREVER@BIGPLANET.COM,,2110,"Ocala/Marion County AOR",2006-02-13T13:52:20,"MEMORIES FOREVER",OCALA,0,3526226007,FL,"- Inactive",271521100,34482,"10775 NW 16TH PLACE  OCALA, FL 34482",WWW.MEMORIESFOREVERONLINE.COM
2715,miajorge@adelphia.net,3057529141,0539,"Ocala/Marion County AOR",2006-08-10T18:34:52,"FAMILY ALLIANCE REALTY INC",SUNRISE,0,7862778222,FL,"- Inactive",271505390,33323,"11600 NW 25 STREET  SUNRISE, FL 33323",
2715,CRisley@OcalaHouses.com,8006791852,0542,"Ocala/Marion County AOR",2009-05-22T18:21:34,"OCALAHOUSES.COM LLC",OCALA,0,3528952564,FL,"- Inactive",271505420,34472,"126 Locust Run  OCALA, FL 34472",www.OcalaHouses.com
2715,david@bradshawwaterfront.com,,0540,"Ocala/Marion County AOR",2006-05-15T14:29:17,"BRADSHAW WATERFRONT PROP   INVEST LLC",OCALA,0,3524277447,FL,"- Inactive",271505400,34478,"3309 SE 4 ST PO BOX 5141 OCALA, FL 34478",
2715,,3526943752,0541,"Ocala/Marion County AOR",2010-11-02T13:11:59,"MC2 PROPERTIES, INC",OCALA,0,3526943089,FL,"- Inactive",271505410,34478,"3928 SE 58 AVE PO BOX 6034 OCALA, FL 34478",
